Year;Voivodeship;Sex;ICD10;Age;Count
1999;02;K;C53;85+;6
1999;02;K;C54;0-4;0
1999;02;K;C54;10-14;0
1999;02;K;C54;15-19;0
1999;02;K;C54;20-24;0
1999;02;K;C54;25-29;1
1999;02;K;C54;30-34;1
1999;02;K;C54;35-39;7
1999;02;K;C54;40-44;7
1999;02;K;C54;45-49;19
1999;02;K;C54;5-9;0
1999;02;K;C54;50-54;23
1999;02;K;C54;55-59;39
1999;02;K;C54;60-64;50
1999;02;K;C54;65-69;67
1999;02;K;C54;70-74;49
1999;02;K;C54;75-79;34
1999;02;K;C54;80-84;6
1999;02;K;C54;85+;2
1999;02;K;C55;0-4;0
1999;02;K;C55;10-14;0
1999;02;K;C55;15-19;0
1999;02;K;C55;20-24;0
1999;02;K;C55;25-29;0
1999;02;K;C55;30-34;0
1999;02;K;C55;35-39;0
1999;02;K;C55;40-44;0
1999;02;K;C55;45-49;0
1999;02;K;C55;5-9;0
1999;02;K;C55;50-54;0
1999;02;K;C55;55-59;0
1999;02;K;C55;60-64;0
1999;02;K;C55;65-69;0
1999;02;K;C55;70-74;1
1999;02;K;C55;75-79;0
1999;02;K;C55;80-84;0
1999;02;K;C55;85+;0
1999;02;K;C56;0-4;0
1999;02;K;C56;10-14;1
1999;02;K;C56;15-19;1
1999;02;K;C56;20-24;1
1999;02;K;C56;25-29;2
1999;02;K;C56;30-34;2
1999;02;K;C56;35-39;8
1999;02;K;C56;40-44;25
1999;02;K;C56;45-49;33
1999;02;K;C56;5-9;0
1999;02;K;C56;50-54;41
1999;02;K;C56;55-59;25
1999;02;K;C56;60-64;22
1999;02;K;C56;65-69;31
1999;02;K;C56;70-74;23
1999;02;K;C56;75-79;22
1999;02;K;C56;80-84;4
1999;02;K;C56;85+;2
1999;02;K;C57;0-4;0
1999;02;K;C57;10-14;0
1999;02;K;C57;15-19;0
1999;02;K;C57;20-24;0
1999;02;K;C57;25-29;0
1999;02;K;C57;30-34;0
1999;02;K;C57;35-39;1
1999;02;K;C57;40-44;0
1999;02;K;C57;45-49;0
1999;02;K;C57;5-9;0
